[API Name] org.apache.pdfbox.cos.COSDictionary
[Type] Class
[Info]
All Implemented Interfaces: COSUpdateInfo, COSObjectable
Direct Known Subclasses: COSStream
public class COSDictionary extends COSBase implements COSUpdateInfo This class represents a dictionary where name/value pairs reside.
Author: Ben Litchfield
[Constructor Summary]
COSDictionary()	Constructor.
long getLong(String key)	This is a convenience method that will get the dictionary object that is expected to be an long.
long getLong(String key, long defaultValue)	This is a convenience method that will get the dictionary object that is expected to be an integer.
String getNameAsString(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
String getNameAsString(COSName key, String defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
String getNameAsString(String key)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
String getNameAsString(String key, String defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a name and convert it to a string.
COSBase getObjectFromPath(String objPath)	Nice method, gives you every object you want Arrays works properly too.
String getString(COSName key)	This is a convenience method that will get the dictionary object that is expected to be a string.
String getString(COSName key, String defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a string.
String getString(String key)	This is a convenience method that will get the dictionary object that is expected to be a string.
String getString(String key, String defaultValue)	This is a convenience method that will get the dictionary object that is expected to be a string.
COSUpdateState getUpdateState()	Returns the current COSUpdateState of this COSDictionary.
Collection<COSBase> getValues()	This will get all of the values for the dictionary.
Set<COSName> keySet()	Returns the names of the entries in this dictionary.
void removeItem(COSName key)	This will remove an item for the dictionary.
void setBoolean(COSName key, boolean value)	This will set an item in the dictionary.
void setBoolean(String key, boolean value)	This will set an item in the dictionary.
void setDate(COSName key, Calendar date)	Set the date object.
void setDate(String key, Calendar date)	Set the value of a date entry in the dictionary.
void setEmbeddedDate(COSName embedded, COSName key, Calendar date)	Set the date object.
void setEmbeddedInt(COSName embeddedDictionary, COSName key, int value)	This is a convenience method that will convert the value to a COSInteger object.
void setEmbeddedString(COSName embedded, COSName key, String value)	This is a convenience method that will convert the value to a COSString object.
void setFlag(COSName field, int bitFlag, boolean value)	Sets the given boolean value at bitPos in the flags.
void setFloat(COSName key, float value)	This is a convenience method that will convert the value to a COSFloat object.
void setFloat(String key, float value)	This is a convenience method that will convert the value to a COSFloat object.
void setInt(COSName key, int value)	This is a convenience method that will convert the value to a COSInteger object.
void setInt(String key, int value)	This is a convenience method that will convert the value to a COSInteger object.
void setItem(COSName key, COSBase value)	This will set an item in the dictionary.
void setItem(COSName key, COSObjectable value)	This will set an item in the dictionary.
void setItem(String key, COSBase value)	This will set an item in the dictionary.
void setItem(String key, COSObjectable value)	This will set an item in the dictionary.
void setLong(COSName key, long value)	This is a convenience method that will convert the value to a COSInteger object.
void setLong(String key, long value)	This is a convenience method that will convert the value to a COSInteger object.
void setName(COSName key, String value)	This is a convenience method that will convert the value to a COSName object.
void setName(String key, String value)	This is a convenience method that will convert the value to a COSName object.
void setString(COSName key, String value)	This is a convenience method that will convert the value to a COSString object.
void setString(String key, String value)	This is a convenience method that will convert the value to a COSString object.
int size()	This will return the number of elements in this dictionary.
String toString()	
[Methods inherited from class org.apache.pdfbox.cos.COSBase]
getCOSObject, getKey, isDirect, setDirect, setKey
[Methods inherited from class java.lang.Object]
clone, equals, finalize, getClass, hashCode, notify, notifyAll, wait, wait, wait
[Methods inherited from interface org.apache.pdfbox.cos.COSUpdateInfo]
isNeedToBeUpdated, setNeedToBeUpdated, toIncrement
[Methods inherited from interface org.apache.pdfbox.pdmodel.common.COSObjectable]
getCOSObject
